Time,P(ex),S,SB
15865,5.75699e-109,0.829168,0.250851
15966,6.0105e-109,0.66094,0.250851
16067,6.26983e-109,0.880357,0.250851
16168,6.55151e-109,0.0232442,0.250851
16269,6.84001e-109,0.140369,0.250851
16370,7.14121e-109,0.565925,0.250851
16471,7.45567e-109,4.19741e-005,0.250851
16572,7.78066e-109,0.151183,0.250851
16674,8.12676e-109,0.625705,0.250851
16775,8.48824e-109,0.315533,0.250851
16876,8.85824e-109,0.563404,0.250851
16977,9.25227e-109,0.387515,0.250851
17111,9.63911e-109,0.803021,0.250851
17212,1.02237e-108,0.520347,0.250851
17313,1.06785e-108,0.368944,0.250851
17414,1.11439e-108,0.667959,0.250851
17515,1.16396e-108,0.524036,0.250851
17616,1.21522e-108,0.282447,0.250851
17717,1.26873e-108,0.0761938,0.250851
17818,1.32403e-108,0.473,0.250851
17919,1.38234e-108,0.214748,0.250851
18020,1.44136e-108,0.380939,0.250851
18121,1.50741e-108,0.626888,0.250851
18222,1.57244e-108,0.155509,0.250851
18323,1.64309e-108,0.0829039,0.250851
18424,1.71544e-108,0.647067,0.250851
18525,1.79022e-108,0.405957,0.250851
18626,1.86985e-108,0.573095,0.250851
18727,1.95219e-108,0.650995,0.250851
18828,2.03815e-108,0.366613,0.250851
18929,2.1279e-108,0.472495,0.250851
19030,2.22161e-108,0.0446067,0.250851
19131,2.31943e-108,0.399796,0.250851
19234,2.42054e-108,0.598422,0.250851
19335,2.53036e-108,0.0777732,0.250851
19436,2.64179e-108,0.2947,0.250851
19537,2.75812e-108,0.250186,0.250851
19638,2.87835e-108,0.735172,0.250851
19739,3.0051e-108,0.679541,0.250851
19840,3.13877e-108,0.91858,0.250851
19941,3.27698e-108,0.365841,0.250851
20042,3.42129e-108,0.789974,0.250851
20143,3.57194e-108,0.909351,0.250851
20244,3.72924e-108,0.0404821,0.250851
20345,3.88847e-108,0.811584,0.250851
20446,4.0649e-108,0.820267,0.250851
20551,4.23125e-108,0.09243,0.250851
20652,4.43835e-108,0.904294,0.250851
20755,4.62984e-108,0.923164,0.250851
20857,4.84198e-108,0.141149,0.250851
20958,5.05304e-108,0.891425,0.250851
21066,5.26206e-108,0.369267,0.250851
21167,5.5267e-108,0.223917,0.250851
21268,5.77253e-108,0.377433,0.250851
21369,6.02415e-108,0.229268,0.250851
21470,6.29211e-108,0.0972372,0.250851
21571,6.56638e-108,0.290933,0.250851
21672,6.85554e-108,0.401668,0.250851
21773,7.16048e-108,0.571603,0.250851
21887,7.4726e-108,0.12304,0.250851
21988,7.8484e-108,0.271152,0.250851
22093,8.15912e-108,0.110388,0.250851
22204,8.48215e-108,0.757853,0.250851
22305,8.98123e-108,0.734221,0.250851
22406,9.38072e-108,0.327329,0.250851
22509,9.79381e-108,0.429383,0.250851
22630,1.01902e-107,0.446658,0.250851
22744,1.07714e-107,0.741891,0.250851
22847,1.12553e-107,0.570884,0.250852
22948,1.18063e-107,0.830165,0.250852
23062,1.23367e-107,0.896548,0.250852
23168,1.29074e-107,0.0760846,0.250852
23269,1.34758e-107,0.783468,0.250852
23377,1.41113e-107,0.0925232,0.250852
23478,1.4821e-107,0.456759,0.250852
23579,1.53815e-107,0.284468,0.250852
23686,1.61e-107,0.590833,0.250852
23787,1.69096e-107,0.440096,0.250852
23896,1.76091e-107,0.623775,0.250852
24010,1.84868e-107,0.0148855,0.250852
24124,1.94082e-107,0.189219,0.250852
24231,2.03148e-107,0.04252,0.250852
24339,2.12728e-107,0.399916,0.250852
24440,2.23426e-107,0.156328,0.250852
24541,2.33165e-107,0.685999,0.250852
24648,2.42707e-107,0.773133,0.250852
24754,2.53936e-107,0.865585,0.250852
24866,2.66365e-107,0.603789,0.250852
24974,2.78927e-107,0.811572,0.250852
25079,2.91707e-107,0.935542,0.250852
25182,3.04812e-107,0.0781228,0.250852
25285,3.18506e-107,0.0618575,0.250852
25391,3.33242e-107,0.621052,0.250852
25492,3.49851e-107,0.972304,0.250852
25606,3.65257e-107,0.98148,0.250852
25714,3.82482e-107,0.667705,0.250852
25815,4.01717e-107,0.855992,0.250852
25916,4.19407e-107,0.67598,0.250852
26028,4.37316e-107,0.407769,0.250852
26143,4.59308e-107,0.353633,0.250852
26244,4.82407e-107,0.836774,0.250852
26345,5.0365e-107,0.133707,0.250852
26450,5.23366e-107,0.969883,0.250852
26551,5.49921e-107,0.157304,0.250852
26666,5.74137e-107,0.7608,0.250852
26770,6.00187e-107,0.757508,0.250852
26871,6.29833e-107,0.619162,0.250852
